1,"[tensor([6.5273]), tensor([6.5312]), tensor(83), tensor(46)]"
2,"[tensor([3.2422]), tensor([3.2441]), tensor(83), tensor(72)]"
3,"[tensor([1.8867]), tensor([1.8877]), tensor(83), tensor(55)]"
4,"[tensor([0.7500]), tensor([0.7505]), tensor(83), tensor(56)]"
5,"[tensor([0.5532]), tensor([0.5537]), tensor(83), tensor(56)]"
6,"[tensor([0.5532]), tensor([0.5537]), tensor(56), tensor(23)]"
7,"[tensor([0.4209]), tensor([0.4211]), tensor(83), tensor(56)]"
8,"[tensor([0.2705]), tensor([0.2708]), tensor(83), tensor(56)]"
9,"[tensor([0.2668]), tensor([0.2671]), tensor(83), tensor(18)]"
10,"[tensor([0.1927]), tensor([0.1929]), tensor(18), tensor(83)]"
11,"[tensor([0.1617]), tensor([0.1619]), tensor(18), tensor(83)]"
12,"[tensor([0.1617]), tensor([0.1619]), tensor(83), tensor(18)]"
13,"[tensor([0.1617]), tensor([0.1619]), tensor(83), tensor(15)]"
14,"[tensor([0.1250]), tensor([0.1251]), tensor(83), tensor(15)]"
15,"[tensor([0.1250]), tensor([0.1251]), tensor(83), tensor(11)]"
16,"[tensor([0.1250]), tensor([0.1251]), tensor(11), tensor(15)]"
17,"[tensor([0.1017]), tensor([0.1018]), tensor(83), tensor(11)]"
18,"[tensor([0.1135]), tensor([0.1136]), tensor(83), tensor(29)]"
19,"[tensor([0.0994]), tensor([0.0995]), tensor(83), tensor(28)]"
20,"[tensor([0.0860]), tensor([0.0861]), tensor(83), tensor(24)]"
21,"[tensor([0.0860]), tensor([0.0861]), tensor(24), tensor(23)]"
22,"[tensor([0.0860]), tensor([0.0861]), tensor(83), tensor(24)]"
23,"[tensor([0.0860]), tensor([0.0861]), tensor(83), tensor(29)]"
24,"[tensor([0.0839]), tensor([0.0840]), tensor(83), tensor(22)]"
25,"[tensor([0.0839]), tensor([0.0840]), tensor(83), tensor(21)]"
26,"[tensor([0.0839]), tensor([0.0840]), tensor(21), tensor(83)]"
27,"[tensor([0.0839]), tensor([0.0840]), tensor(21), tensor(47)]"
28,"[tensor([0.0839]), tensor([0.0840]), tensor(83), tensor(21)]"
29,"[tensor([0.0651]), tensor([0.0652]), tensor(83), tensor(29)]"
30,"[tensor([0.0651]), tensor([0.0652]), tensor(83), tensor(29)]"
31,"[tensor([0.0651]), tensor([0.0652]), tensor(83), tensor(29)]"
