frame,truth,target,Lip,bnd
0,83,0,9.30E-05,10747.71513
0,83,71,9.30E-05,10746.9579
0,83,79,9.31E-05,10744.8094
0,83,82,9.31E-05,10746.20028
0,83,27,9.30E-05,10748.9401
0,83,64,9.31E-05,10741.52064
0,83,53,9.31E-05,10739.587
0,83,62,9.31E-05,10740.94324
0,83,69,9.31E-05,10746.11996
0,83,68,9.30E-05,10747.25853
1,83,0,6.29E-07,1590840.898
1,83,79,6.29E-07,1589548.278
1,83,71,6.29E-07,1589222.807
1,83,27,6.33E-07,1580867.541
1,83,53,6.30E-07,1586732.713
1,83,62,6.27E-07,1594642.796
1,83,64,6.27E-07,1595513.593
1,83,82,6.31E-07,1585030.141
1,83,68,6.37E-07,1570418.499
1,83,23,6.36E-07,1571194.234
2,83,0,9.71E-05,10303.64622
2,83,79,9.71E-05,10302.96949
2,83,71,9.71E-05,10301.20756
2,83,62,9.70E-05,10303.8134
2,83,68,9.70E-05,10305.53998
2,83,64,9.72E-05,10292.04349
2,83,53,9.71E-05,10295.45504
2,83,82,9.71E-05,10293.56646
2,83,27,9.72E-05,10291.85398
2,83,69,9.72E-05,10288.18911
3,83,0,0.000492824,2029.016583
3,83,79,0.000492821,2029.026068
3,83,71,0.000493014,2028.23403
3,83,62,0.000493016,2028.22589
3,83,53,0.000492933,2028.565186
3,83,68,0.000493024,2028.19063
3,83,64,0.000492933,2028.566153
3,83,33,0.000493134,2027.741325
3,83,74,0.000492945,2028.515151
3,83,81,0.000493172,2027.581596
4,83,79,0.035095789,28.36748968
4,83,0,0.035095745,28.36752454
4,83,74,0.035095753,28.36751682
4,83,71,0.03509553,28.36769684
4,83,53,0.03509568,28.36757599
4,83,21,0.035095973,28.36733914
4,83,64,0.035095304,28.36787825
4,83,82,0.03509529,28.36788908
4,83,15,0.035095345,28.36784485
4,83,32,0.035096123,28.36721453
5,56,21,0.000251245,3978.931407
5,56,25,0.000251246,3978.911564
5,56,64,0.000251199,3979.662978
5,56,79,0.000251175,3980.033834
5,56,15,0.000251199,3979.6645
5,56,0,0.000251297,3978.100852
5,56,11,0.000251384,3976.737743
5,56,71,0.000251402,3976.450543
5,56,66,0.000251202,3979.609621
5,56,63,0.000251153,3980.397276
6,83,0,0.015529154,64.35228487
6,83,74,0.015529237,64.35194156
6,83,79,0.015529286,64.35173584
6,83,64,0.01552942,64.35118423
6,83,71,0.015529169,64.35222459
6,83,82,0.015529814,64.34954448
6,83,53,0.015529153,64.3522856
6,83,36,0.015529201,64.35208763
6,83,5,0.01552946,64.35101225
6,83,27,0.015529591,64.35046812
7,83,0,0.00042986,2326.198193
7,83,79,0.000429885,2326.060554
7,83,71,0.000429904,2325.959806
7,83,64,0.000429934,2325.794324
7,83,5,0.000429884,2326.067857
7,83,36,0.000429966,2325.622965
7,83,62,0.000429969,2325.606398
7,83,27,0.000430008,2325.396646
7,83,74,0.000430027,2325.294677
7,83,9,0.000430001,2325.433501
8,83,0,0.003494337,285.8911806
8,83,79,0.003494438,285.8829413
8,83,62,0.00349439,285.8868286
8,83,64,0.003494378,285.8878103
8,83,20,0.003494462,285.8809124
8,83,71,0.003494648,285.8657243
8,83,5,0.003494412,285.885028
8,83,81,0.003494482,285.8792756
8,83,27,0.003494601,285.869538
8,83,9,0.00349455,285.8737555
9,18,0,0.030796437,32.36830438
9,18,72,0.030796781,32.36794208
9,18,80,0.030796837,32.36788204
9,18,27,0.030797274,32.36742194
9,18,74,0.030797068,32.3676387
9,18,48,0.030796928,32.36778557
9,18,5,0.030797396,32.36729391
9,18,60,0.030797379,32.36730967
9,18,20,0.030797304,32.36738847
9,18,81,0.030797108,32.36759473
10,18,0,0.001570777,635.9058982
10,18,72,0.00157076,635.912846
10,18,80,0.001570835,635.882278
10,18,5,0.0015707,635.936935
10,18,27,0.001570738,635.9216696
10,18,48,0.001570815,635.8902838
10,18,74,0.001570745,635.9188727
10,18,60,0.001570729,635.925127
10,18,62,0.001570753,635.9154197
10,18,64,0.001570835,635.8821697
11,83,0,0.000320444,3120.524444
11,83,62,0.000320458,3120.380665
11,83,64,0.000320451,3120.452896
11,83,5,0.000320472,3120.248416
11,83,82,0.00032053,3119.681806
11,83,79,0.000320644,3118.571185
11,83,71,0.000320522,3119.763438
11,83,60,0.000320495,3120.027456
11,83,27,0.000320542,3119.565803
11,83,74,0.000320637,3118.636605
12,83,0,2.39E-05,41828.90838
12,83,62,2.39E-05,41826.85426
12,83,82,2.39E-05,41825.68705
12,83,60,2.39E-05,41819.51674
12,83,64,2.39E-05,41833.63579
12,83,79,2.39E-05,41802.78279
12,83,71,2.39E-05,41805.12408
12,83,5,2.39E-05,41828.7538
12,83,74,2.39E-05,41851.34632
12,83,53,2.39E-05,41816.89141
