frame,truth,target,Lip,bnd
0,83,0,0.448337492,2.185078565
0,83,82,0.448337778,2.185077038
0,83,73,0.448339155,2.185070193
0,83,10,0.448339021,2.185070715
0,83,71,0.448339932,2.185066276
0,83,79,0.448342731,2.185052233
0,83,60,0.448341456,2.185058181
0,83,28,0.448343496,2.185047575
0,83,13,0.448340433,2.185062503
0,83,9,0.448347428,2.185028411
1,45,71,0.008196776,121.8663477
1,45,10,0.00819714,121.8609483
1,45,79,0.008197068,121.8620183
1,45,28,0.008197711,121.8524579
1,45,82,0.008197243,121.859406
1,45,0,0.008197321,121.8582498
1,45,15,0.008198213,121.8449738
1,45,63,0.00819777,121.8515679
1,45,3,0.008195489,121.885478
1,45,36,0.008196994,121.863098
2,83,0,0.002145395,466.0069016
2,83,74,0.002145457,465.9934456
2,83,82,0.002145486,465.9871461
2,83,71,0.00214571,465.9384502
2,83,79,0.00214558,465.9666457
2,83,77,0.002145758,465.9281498
2,83,57,0.00214543,465.9993445
2,83,61,0.00214584,465.9101635
2,83,53,0.0021459,465.8971493
2,83,72,0.002145691,465.9426515
3,24,74,1.73908846,0.567403791
3,24,43,1.739089626,0.567403342
3,24,57,1.739088357,0.567403756
3,24,80,1.739094785,0.567401659
3,24,7,1.739098912,0.567400312
3,24,16,1.739098008,0.567400573
3,24,53,1.739090441,0.567403042
3,24,0,1.739092784,0.567402277
3,24,55,1.739095528,0.567401382
3,24,82,1.739094394,0.567401752
4,24,74,0.001849803,540.3429514
4,24,7,0.001850146,540.242852
4,24,43,0.001850106,540.2543653
4,24,41,0.001850541,540.1273266
4,24,0,0.001849898,540.3150934
4,24,80,0.001850089,540.259453
4,24,53,0.001850348,540.1838768
4,24,16,0.001850376,540.1755149
4,24,57,0.001850348,540.1837985
4,24,72,0.001850279,540.203926
5,83,0,0.000135295,7391.004999
5,83,53,0.00013531,7390.208915
5,83,62,0.00013529,7391.290886
5,83,64,0.000135284,7391.594319
5,83,74,0.000135314,7389.979569
5,83,60,0.000135252,7393.38192
5,83,51,0.000135293,7391.128967
5,83,82,0.000135381,7386.293581
5,83,47,0.000135283,7391.645529
5,83,61,0.000135392,7385.713977
6,83,0,0.008339369,119.5303154
6,83,53,0.008339409,119.5297432
6,83,62,0.008339378,119.5301951
6,83,51,0.008339406,119.5297858
6,83,74,0.008339351,119.5305651
6,83,61,0.008339393,119.5299664
6,83,40,0.008339294,119.5313931
6,83,57,0.008339531,119.527992
6,83,47,0.008339308,119.5311851
6,83,82,0.008339551,119.5277116
7,29,51,0.000539738,1851.56444
7,29,0,0.00053982,1851.28449
7,29,8,0.000539797,1851.361648
7,29,1,0.000539751,1851.521386
7,29,53,0.000539874,1851.098598
7,29,3,0.000539849,1851.182347
7,29,44,0.000539845,1851.197763
7,29,45,0.000539698,1851.702303
7,29,40,0.00053984,1851.215882
7,29,58,0.00053974,1851.557712
8,83,0,0.001687641,592.4856615
8,83,62,0.001687656,592.4805397
8,83,74,0.001687696,592.4664741
8,83,51,0.001687682,592.4713831
8,83,53,0.001687694,592.4670278
8,83,82,0.00168779,592.4334463
8,83,3,0.0016877,592.4650711
8,83,61,0.001687676,592.4732732
8,83,58,0.001687781,592.4363465
8,83,39,0.00168766,592.4790544
9,83,0,0.000936276,1065.894754
9,83,62,0.000936281,1065.889197
9,83,58,0.000936323,1065.841907
9,83,51,0.000936322,1065.842866
9,83,20,0.000936316,1065.849672
9,83,61,0.000936308,1065.858078
9,83,39,0.000936293,1065.875798
9,83,80,0.000936297,1065.870973
9,83,50,0.000936313,1065.85297
9,83,60,0.000936314,1065.851602
10,31,0,0.001122397,889.9214232
10,31,69,0.001122345,889.9626863
10,31,62,0.00112248,889.8551102
10,31,76,0.001122558,889.7935014
10,31,4,0.001122322,889.9806784
10,31,61,0.001122537,889.8104859
10,31,55,0.001122586,889.7710228
10,31,80,0.001122332,889.9727889
10,31,39,0.001122559,889.7928363
10,31,75,0.001122658,889.7143324
11,83,0,0.039856698,25.04351232
11,83,62,0.039856706,25.04350641
11,83,60,0.039857091,25.04326432
11,83,61,0.039857585,25.04295361
11,83,80,0.039857348,25.0431012
11,83,51,0.039857102,25.04325592
11,83,82,0.039858274,25.04251922
11,83,47,0.039857811,25.04281033
11,83,76,0.039857464,25.04302836
11,83,73,0.039857882,25.04276544
12,83,0,0.000111735,8949.459864
12,83,62,0.000111741,8948.994945
12,83,74,0.000111744,8948.813175
12,83,82,0.000111764,8947.212252
12,83,53,0.000111739,8949.172281
12,83,80,0.000111777,8946.130523
12,83,60,0.000111795,8944.660921
12,83,51,0.000111738,8949.225418
12,83,39,0.00011177,8946.673983
12,83,71,0.000111723,8950.42469
13,83,53,7.132253281,0.147251582
13,83,0,7.132254237,0.147251555
13,83,74,7.132255414,0.147251486
13,83,51,7.132254111,0.147251512
13,83,80,7.132255036,0.147251474
13,83,64,7.132259462,0.147251324
13,83,12,7.13225391,0.147251448
13,83,79,7.132255727,0.147251396
13,83,82,7.132256458,0.147251352
13,83,7,7.132252887,0.147251431
14,28,51,0.000201804,4951.257896
14,28,53,0.000201799,4951.371029
14,28,0,0.000201884,4949.301881
14,28,12,0.000201893,4949.062024
14,28,7,0.000201739,4952.84394
14,28,64,0.000201707,4953.641627
14,28,74,0.000201713,4953.491542
14,28,80,0.000201715,4953.449142
14,28,44,0.000201596,4956.361759
14,28,41,0.00020147,4959.461169
15,83,0,0.002546084,392.6681787
15,83,60,0.002546103,392.6651986
15,83,82,0.002546149,392.6580867
15,83,57,0.0025461,392.6656858
15,83,62,0.002546219,392.6473856
15,83,59,0.002546189,392.6519615
15,83,61,0.002546198,392.6505633
15,83,70,0.002546035,392.6758007
15,83,76,0.002546079,392.6689863
15,83,58,0.002546237,392.6446354
16,11,40,4.49072997,0.212602802
16,11,70,4.490732762,0.21260267
16,11,62,4.490731652,0.212602709
16,11,0,4.490730518,0.21260275
16,11,61,4.490729005,0.212602821
16,11,56,4.49074468,0.212602066
16,11,20,4.490742514,0.212602155
16,11,82,4.490743373,0.212602115
16,11,81,4.490724413,0.212602999
16,11,76,4.490742981,0.21260212
17,11,70,0.000305969,3267.321591
17,11,40,0.000305933,3267.710755
17,11,76,0.00030594,3267.636113
17,11,61,0.000306049,3266.473469
17,11,0,0.000305986,3267.149435
17,11,56,0.000305909,3267.961915
17,11,60,0.000305883,3268.247309
17,11,67,0.000305868,3268.404349
17,11,66,0.000306079,3266.150387
17,11,59,0.000305674,3270.475407
18,83,0,6.91E-05,14479.82851
18,83,82,6.91E-05,14476.18692
18,83,62,6.91E-05,14475.81294
18,83,60,6.91E-05,14475.76624
18,83,61,6.91E-05,14479.62102
18,83,74,6.91E-05,14477.25331
18,83,53,6.91E-05,14477.90955
18,83,71,6.91E-05,14474.37319
18,83,79,6.91E-05,14478.115
18,83,51,6.91E-05,14477.00282
19,83,0,0.001143584,874.1538268
19,83,82,0.001143626,874.1217244
19,83,53,0.001143616,874.1298788
19,83,74,0.001143581,874.1563269
19,83,62,0.001143669,874.0886538
19,83,64,0.001143557,874.1749366
19,83,43,0.00114359,874.1494219
19,83,71,0.001143534,874.192
19,83,57,0.001143674,874.0851737
19,83,60,0.001143638,874.1124534
